body_weight,brain_weight,max_life_span,gestation_time,predation_index,sleep_exposure_index,danger_index,total_sleep,brain_to_body_ratio,log_body_weight,log_brain_weight,sleep_per_kg,sleep_intensity_index,sleep_vs_danger_ratio,threat_index,environment_risk_score,lifespan_per_kg,gestation_to_lifespan_ratio,cognitive_ecology_index,size_class,sleep_profile,risk_profile,brain_x_sleep,size_x_danger,longevity_x_sleep,intelligence_risk_tradeoff
6654.0,5712.0,38.6,645.0,3,5,3,3.3,0.8584310188069686,8.803123730829212,8.650499558724462,0.0004959422902771352,16.5,0.825,3.0,3.6,0.0058010219408174,16.709844126687976,0.5791724075227875,Large,Short Sleeper,Medium Risk,18849.6,19962.0,127.38,0.2861435775544637
1.0,6.6,4.5,42.0,3,1,3,8.3,6.5999934000066,0.6931471805599453,2.028148247292285,8.2999917000083,8.3,2.075,3.0,2.4000000000000004,4.4999955000045,9.33333125925972,2.7734973600026405,Small,Moderate Sleeper,Medium Risk,54.78,3.0,37.35,2.199997066669844
3.385,44.5,14.0,60.0,1,1,1,12.5,13.146229498898228,1.4781896258241463,3.817712325956905,3.6927610951961314,12.5,6.25,1.0,1.0,4.135892426619667,4.285713979591859,5.540491799559291,Medium,Long Sleeper,Low Risk,556.25,3.385,175.0,13.146216352681876
0.92,5.7,15.1,25.0,5,2,3,16.5,6.195645439515826,0.6523251860396903,1.9021075263969205,17.934763114387916,33.0,4.125,4.0,3.7,16.413025638015608,1.6556290294285412,2.583558175806331,Small,Extreme Sleeper,High Risk,94.05,2.7600000000000002,249.15,1.5489109726512134
2547.0,4603.0,69.0,624.0,3,5,4,3.9,1.807224184606508,7.843064016692054,8.434680769841773,0.0015312131913893942,19.5,0.78,3.5,3.8,0.02709069492458159,9.043478129804665,1.0198896738426033,Large,Short Sleeper,Medium Risk,17951.7,10188.0,269.09999999999997,0.5163496195019681
10.55,179.5,27.0,180.0,4,4,4,9.8,17.01421639675674,2.446685436967803,5.195730777772936,0.9289098645583067,39.2,1.9600000000000002,4.0,4.0,2.559241463579008,6.666666419753096,6.946686558702696,Medium,Moderate Sleeper,High Risk,1759.1000000000001,42.2,264.6,4.253553035800926
0.023,0.3,19.0,35.0,1,1,1,19.7,13.04291117777488,0.022739486969489426,0.262364264467491,856.4845006738836,19.7,9.85,1.0,1.0,826.0510412590756,1.8421051662049912,5.514164471109953,Micro,Extreme Sleeper,Low Risk,5.909999999999999,0.023,374.3,13.042898134876745
160.0,169.0,30.4,392.0,4,5,4,6.2,1.0562499933984375,5.081404364984463,5.135798437050262,0.0387499997578125,31.0,1.24,4.0,4.3,0.18999999881250001,12.894736417936302,0.5736999973593749,Large,Moderate Sleeper,High Risk,1047.8,640.0,188.48,0.2640624323340013
3.3,25.6,28.0,63.0,1,2,1,14.5,7.757573406795938,1.4586150226995167,3.2809112157876537,4.393938062443011,29.0,7.25,1.0,1.3,8.484845913683056,2.24999991964286,3.4270293627183754,Small,Extreme Sleeper,Low Risk,371.20000000000005,3.3,406.0,7.75756564923029
52.16,440.0,50.0,230.0,1,1,1,9.7,8.435582660360764,3.9733062338450447,6.089044875446846,0.18596625410340772,9.7,4.85,1.0,1.0,0.9585889386773594,4.599999908000002,3.764233064144306,Large,Moderate Sleeper,Low Risk,4268.0,52.16,484.99999999999994,8.435574224786539
